"CODI_PROVINCIA","PROVINCIA","CODI_MUNICIPI","MUNICIPI","ESTACIO","CODI_CONTAMINANT","ANY","MES","DIA","H01","V01","H02","V02","H03","V03","H04","V04","H05","V05","H06","V06","H07","V07","H08","V08","H09","V09","H10","V10","H11","V11","H12","V12","H13","V13","H14","V14","H15","V15","H16","V16","H17","V17","H18","V18","H19","V19","H20","V20","H21","V21","H22","V22","H23","V23","H24","V24"
8,"Barcelona",19,"Barcelona",4,7,2024,11,1,1,"V",2,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",3,"V",4,"V",5,"V",2,"V",2,"V",2,"V",2,"V",1,"V",1,"V",1,"V",1,"V",2,"V",1,"V",3,"V",1,"V",1,"V"
8,"Barcelona",19,"Barcelona",4,7,2024,11,2,1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",2,"V",3,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V"
8,"Barcelona",19,"Barcelona",4,7,2024,11,3,1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",3,"V",4,"V",5,"V",7,"V",4,"V",1,"V",2,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V"
8,"Barcelona",19,"Barcelona",4,7,2024,11,4,1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",2,"V",2,"V",2,"V",2,"V",3,"V",5,"V",4,"V",2,"V",1,"V",2,"V",1,"V",1,"V",3,"V",6,"V",1,"V",3,"V"
8,"Barcelona",19,"Barcelona",4,7,2024,11,5,6,"V",3,"V",1,"V",3,"V",7,"V",7,"V",12,"V",31,"V",51,"V",38,"V",28,"V",17,"V",6,"V",3,"V",2,"V",1,"V",1,"V",2,"V",1,"V",1,"V",1,"V",1,"V",1,"V",2,"V"
8,"Barcelona",19,"Barcelona",4,7,2024,11,6,7,"V",1,"V",1,"V",1,"V",1,"V",3,"V",8,"V",19,"V",23,"V",22,"V",20,"V",13,"V",3,"V",2,"V",2,"V",2,"V",2,"V",2,"V",1,"V",1,"V",2,"V",1,"V",1,"V",1,"V"
8,"Barcelona",19,"Barcelona",4,7,2024,11,7,1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",2,"V",13,"V",19,"V",8,"V",2,"V",2,"V",2,"V",2,"V",2,"V",2,"V",2,"V",1,"V",1,"V",2,"V",1,"V",1,"V",1,"V"
8,"Barcelona",19,"Barcelona",4,7,2024,11,8,1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",2,"V",9,"V",19,"V",19,"V",8,"V",9,"V",11,"V",3,"V",2,"V",2,"V",2,"V",2,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V"
8,"Barcelona",19,"Barcelona",4,7,2024,11,9,1,"V",1,"V",1,"V",1,"V",1,"V",2,"V",5,"V",6,"V",15,"V",12,"V",10,"V",8,"V",1,"V",2,"V",2,"V",1,"V",1,"V",2,"V",1,"V",1,"V",1,"V",9,"V",5,"V",7,"V"
8,"Barcelona",19,"Barcelona",4,7,2024,11,10,13,"V",9,"V",3,"V",1,"V",1,"V",1,"V",1,"V",1,"V",2,"V",5,"V",2,"V",3,"V",2,"V",2,"V",2,"V",2,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V"
8,"Barcelona",19,"Barcelona",4,7,2024,11,11,1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",5,"V",19,"V",36,"V",24,"V",20,"V",15,"V",16,"V",4,"V",3,"V",4,"V",2,"V",1,"V",15,"V",7,"V",3,"V",2,"V",4,"V",1,"V"
8,"Barcelona",19,"Barcelona",4,7,2024,11,12,1,"V",2,"V",1,"V",1,"V",1,"V",1,"V",2,"V",3,"V",6,"V",9,"V",14,"V",20,"V",12,"V",10,"V",4,"V",2,"V",3,"V",2,"V",2,"V",1,"V",3,"V",3,"V",1,"V",1,"V"
8,"Barcelona",19,"Barcelona",4,7,2024,11,13,1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",2,"V",6,"V",2,"V",2,"V",2,"V",3,"V",3,"V",3,"V",2,"V",2,"V",2,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V"
8,"Barcelona",19,"Barcelona",4,7,2024,11,14,1,"V",1,"V",1,"V",1,"V",1,"V",2,"V",7,"V",23,"V",47,"V",47,"V",55,"V",32,"V",13,"V",3,"V",2,"V",2,"V",2,"V",1,"V",1,"V",2,"V",6,"V",7,"V",3,"V",1,"V"
