"CODI_PROVINCIA","PROVINCIA","CODI_MUNICIPI","MUNICIPI","ESTACIO","CODI_CONTAMINANT","ANY","MES","DIA","H01","V01","H02","V02","H03","V03","H04","V04","H05","V05","H06","V06","H07","V07","H08","V08","H09","V09","H10","V10","H11","V11","H12","V12","H13","V13","H14","V14","H15","V15","H16","V16","H17","V17","H18","V18","H19","V19","H20","V20","H21","V21","H22","V22","H23","V23","H24","V24"
8,"Barcelona",19,"Barcelona",4,7,2024,12,1,35,"V",18,"V",7,"V",10,"V",2,"V",3,"V",2,"V",1,"V",1,"V",2,"V",4,"V",4,"V",4,"V",4,"V",5,"V",2,"V",2,"V",1,"V",1,"V",3,"V",13,"V",9,"V",11,"V",2,"V"
8,"Barcelona",19,"Barcelona",4,7,2024,12,2,1,"V",1,"V",1,"V",1,"V",3,"V",10,"V",15,"V",38,"V",56,"V",64,"V",72,"V",72,"V",6,"V",5,"V",9,"V",7,"V",6,"V",5,"V",2,"V",3,"V",6,"V",13,"V",17,"V",9,"V"
8,"Barcelona",19,"Barcelona",4,7,2024,12,3,8,"V",12,"V",1,"V",1,"V",1,"V",1,"V",6,"V",14,"V",10,"V",30,"V",22,"V",8,"V",7,"V",6,"V",9,"V",6,"V",6,"V",10,"V",2,"V",4,"V",14,"V",9,"V",5,"V",2,"V"
8,"Barcelona",19,"Barcelona",4,7,2024,12,4,1,"V",2,"V",6,"V",13,"V",14,"V",11,"V",9,"V",7,"V",10,"V",15,"V",5,"V",6,"V",5,"V",6,"V",4,"V",3,"V",2,"V",2,"V",2,"V",5,"V",5,"V",2,"V",4,"V",3,"V"
8,"Barcelona",19,"Barcelona",4,7,2024,12,5,2,"V",2,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",12,"V",23,"V",29,"V",15,"V",10,"V",4,"V",2,"V",2,"V",1,"V",5,"V",52,"V",44,"V",29,"V",35,"V",7,"V",2,"V"
8,"Barcelona",19,"Barcelona",4,7,2024,12,6,2,"V",15,"V",1,"V",1,"V",5,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",2,"V",2,"V",6,"V",5,"V",9,"V",6,"V",13,"V",19,"V",29,"V",48,"V",43,"V",49,"V"
8,"Barcelona",19,"Barcelona",4,7,2024,12,7,35,"V",33,"V",29,"V",32,"V",28,"V",20,"V",12,"V",17,"V",9,"V",1,"V",2,"V",2,"V",2,"V",2,"V",1,"V",2,"V",2,"V",1,"V",3,"V",1,"V",1,"V",1,"V",1,"V",1,"V"
8,"Barcelona",19,"Barcelona",4,7,2024,12,8,1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V"
8,"Barcelona",19,"Barcelona",4,7,2024,12,9,1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",2,"V",5,"V",6,"V",6,"V",5,"V",6,"V",5,"V",5,"V",4,"V",2,"V",3,"V",3,"V",7,"V",7,"V",6,"V",7,"V",2,"V"
8,"Barcelona",19,"Barcelona",4,7,2024,12,10,1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",2,"V",6,"V",18,"V",23,"V",18,"V",9,"V",9,"V",9,"V",3,"V",2,"V",1,"V",1,"V",2,"V",4,"V",4,"V",1,"V",1,"V",1,"V"
8,"Barcelona",19,"Barcelona",4,7,2024,12,11,2,"V",1,"V",1,"V",2,"V",1,"V",1,"V",4,"V",8,"V",6,"V",22,"V",30,"V",35,"V",24,"V",18,"V",11,"V",9,"V",13,"V",12,"V",15,"V",10,"V",4,"V",2,"V",2,"V",1,"V"
8,"Barcelona",19,"Barcelona",4,7,2024,12,12,1,"V",1,"V",2,"V",1,"V",1,"V",1,"V",1,"V",1,"V",2,"V",3,"V",3,"V",2,"V",2,"V",1,"V",1,"V",2,"V",1,"V",2,"V",3,"V",2,"V",3,"V",2,"V",1,"V",1,"V"
8,"Barcelona",19,"Barcelona",4,7,2024,12,13,2,"V",1,"V",1,"V",1,"V",1,"V",1,"V",2,"V",14,"V",32,"V",39,"V",38,"V",23,"V",8,"V",7,"V",2,"V",2,"V",2,"V",4,"V",9,"V",8,"V",8,"V",39,"V",41,"V",11,"V"
8,"Barcelona",19,"Barcelona",4,7,2024,12,14,1,"V",1,"V",1,"V",1,"V",2,"V",1,"V",1,"V",2,"V",4,"V",3,"V",3,"V",5,"V",3,"V",3,"V",4,"V",2,"V",3,"V",2,"V",3,"V",3,"V",9,"V",11,"V",14,"V",21,"V"
8,"Barcelona",19,"Barcelona",4,7,2024,12,15,6,"V",4,"V",2,"V",2,"V",1,"V",1,"V",2,"V",1,"V",1,"V",2,"V",3,"V",5,"V",5,"V",4,"V",3,"V",3,"V",1,"V",1,"V",6,"V",19,"V",22,"V",26,"V",26,"V",12,"V"
8,"Barcelona",19,"Barcelona",4,7,2024,12,16,13,"V",9,"V",2,"V",2,"V",2,"V",3,"V",5,"V",11,"V",51,"V",65,"V",72,"V",86,"V",42,"V",17,"V",10,"V",7,"V",5,"V",2,"V",3,"V",3,"V",1,"V",2,"V",1,"V",1,"V"
8,"Barcelona",19,"Barcelona",4,7,2024,12,17,3,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",30,"V",69,"V",54,"V",NA,"N",NA,"N",8,"V",7,"V",4,"V",3,"V",4,"V",5,"V",3,"V",5,"V",2,"V",1,"V",1,"V",1,"V"
8,"Barcelona",19,"Barcelona",4,7,2024,12,18,1,"V",1,"V",1,"V",1,"V",1,"V",2,"V",7,"V",18,"V",55,"V",74,"V",83,"V",68,"V",42,"V",24,"V",4,"V",6,"V",25,"V",48,"V",54,"V",82,"V",140,"V",165,"V",132,"V",100,"V"
8,"Barcelona",19,"Barcelona",4,7,2024,12,19,80,"V",52,"V",9,"V",1,"V",1,"V",2,"V",7,"V",6,"V",25,"V",15,"V",20,"V",15,"V",6,"V",2,"V",1,"V",2,"V",2,"V",1,"V",2,"V",1,"V",2,"V",1,"V",1,"V",1,"V"
8,"Barcelona",19,"Barcelona",4,7,2024,12,20,1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",9,"V",8,"V",49,"V",34,"V",9,"V",5,"V",6,"V",4,"V",3,"V",3,"V",2,"V",2,"V",4,"V",24,"V",35,"V",5,"V",7,"V"
8,"Barcelona",19,"Barcelona",4,7,2024,12,21,10,"V",2,"V",1,"V",10,"V",8,"V",1,"V",1,"V",1,"V",2,"V",4,"V",7,"V",6,"V",5,"V",4,"V",3,"V",4,"V",2,"V",2,"V",3,"V",8,"V",13,"V",20,"V",15,"V",8,"V"
8,"Barcelona",19,"Barcelona",4,7,2024,12,22,8,"V",2,"V",2,"V",1,"V",1,"V",1,"V",1,"V",1,"V",2,"V",2,"V",3,"V",4,"V",2,"V",2,"V",2,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V"
8,"Barcelona",19,"Barcelona",4,7,2024,12,23,1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",2,"V",28,"V",37,"V",28,"V",9,"V",6,"V",6,"V",4,"V",2,"V",2,"V",1,"V",27,"V",65,"V",85,"V",39,"V",9,"V",8,"V"
8,"Barcelona",19,"Barcelona",4,7,2024,12,24,2,"V",1,"V",1,"V",1,"V",2,"V",2,"V",4,"V",14,"V",44,"V",60,"V",47,"V",13,"V",17,"V",12,"V",15,"V",15,"V",18,"V",28,"V",33,"V",52,"V",50,"V",58,"V",8,"V",22,"V"
8,"Barcelona",19,"Barcelona",4,7,2024,12,25,30,"V",19,"V",19,"V",22,"V",18,"V",11,"V",13,"V",8,"V",8,"V",6,"V",7,"V",9,"V",10,"V",2,"V",1,"V",1,"V",1,"V",1,"V",20,"V",13,"V",64,"V",96,"V",51,"V",49,"V"
